S.No.,Rule,Support,Lift,Confidence
220,BBS  , BASICS,0.011,5.5,0.06
221,FOAM/PLASTIC/CATERING  , MEATS,0.011,5.5,0.25
222,DISH DETERGENTS & SUPPLIES  , MEATS,0.022,8.8,0.5
223,DAIRY PRODUCTS  , MEATS,0.045,2.707,0.15
224,HAIR CARE  , OIL,0.011,7.333,0.25
225,MEATS  , LAUNDRY DETERGENTS & SUPPLIES,0.022,4.4,0.4
226,ETHNIC  , ALL HANGING APPAREL,0.011,17.6,1
227,FIRST AID  , CONDIMENTS,0.011,17.6,1
228,DAIRY PRODUCTS  , PERSONAL WASH,0.011,1.692,0.04
229,PREPARED  , CHEESE,0.022,6.285,0.5
230,PASTA & SAUCES  , DRINK MIXES,0.011,11,0.5
231,SPAS/POOLS/CHEMICALS  , MEATS,0.011,22,1
232,CHEMICALS  , JUICES,0.011,11,0.25
233,MINTS/GUM  , PERSONAL WASH,0.011,44,1
234,MEATS  , VITAMIN/SUPPLEMENTS,0.011,4.4,0.2
235,LIQUOR  , FRUIT & VEGETABLES,0.011,9.777,1
236,BASICS  , MEATS,0.011,17.6,1
237,LAUNDRY DETERGENTS & SUPPLIES  , BEVERAGES,0.022,2.2,0.25
238,RICE/BEANS/PASTA  , BASICS,0.011,17.6,0.2
239,PET SUPPLIES  , ANTACID/LAXATIVE/DIETARY AID,0.011,3.142,0.14
240,SALES  , BEER,0.011,4.888,0.11
241,VITAMIN/SUPPLEMENTS  , DAIRY PRODUCTS,0.034,2.538,0.75
242,MEATS  , FRUITS & VEGETABLES,0.011,4.4,0.25
243,SOUPS  , CHEMICALS,0.011,22,1
244,ANTACID/LAXATIVE/DIETARY AID  , BEVERAGES,0.022,4.4,0.5
245,BULK GOOD CANDY  , RICE/BEANS/PASTA,0.011,5.866,0.33
246,WIPES  , SALTY SNACKS,0.011,4.888,0.33
247,BEVERAGES  , ANTI-PERS/DEODORANT,0.011,5.176,0.06
248,PERSONAL WASH  , RICE/BEANS/PASTA,0.011,8.8,0.5
249,CONDIMENTS  , PET SUPPLIES,0.011,2.514,0.2
250,PAPER PRODUCTS  , CHEESE,0.034,4.714,0.38
251,FRUITS & VEGETABLES  , MEAT,0.011,5.866,0.2
252,BEVERAGES  , BAKING NUTS,0.034,2.588,0.18
253,PERSONAL WASH  , BEVERAGES,0.022,5.176,1
254,ETHNIC  , PET SUPPLIES,0.011,6.285,0.5
255,PRODUCE  , DRINK MIXES,0.022,1.571,0.07
256,SALTY SNACKS  , PAPER PRODUCTS,0.034,5.5,0.5
257,PRODUCE  , SPICES,0.011,1.571,0.04
258,SALES  , SALES,0.102,9.777,1
259,FRUITS & VEGETABLES  , SPREADS/SYRUP/HONEY,0.034,13.2,0.6
260,CANNED FISH AND MEAT  , SALES,0.022,6.518,0.67
261,FRUITS & VEGETABLES  , BBS,0.045,4.4,0.8
262,VITAMIN/SUPPLEMENTS  , BBS,0.034,4.125,0.75
263,JUICES  , PERSONAL WASH,0.011,22,0.5
264,HAIR CARE  , SALTY SNACKS,0.011,3.666,0.25
265,CANNED FISH AND MEAT  , WOMENS BASICS,0.011,29.333,0.33
266,DISH DETERGENTS & SUPPLIES  , DIAPERS,0.011,11,0.25
267,BAKERY  , LIQUOR,0.011,11,0.13
268,BEVERAGES  , FRUIT SNACKS,0.034,5.176,0.18
269,HAIR CARE  , CHEESE,0.022,6.285,0.5
270,BBS  , PREPARED,0.022,2.75,0.13
271,BAKING NUTS  , SALES,0.022,3.259,0.33
272,TOPICAL APPLICATIONS  , PRODUCE,0.011,3.142,1
273,SAUCES  , DRINK MIXES,0.011,11,0.5
274,PRODUCE  , ALL HANGING APPAREL,0.034,1.885,0.11
275,BEVERAGES  , CHEESE,0.034,2.218,0.18
276,WIPES  , DAIRY PRODUCTS,0.011,1.128,0.33
277,RICE/BEANS/PASTA  , RICE/BEANS/PASTA,0.056,17.6,1
278,LIQUOR  , BEVERAGES,0.011,5.176,1
279,HAIR CARE  , RICE/BEANS/PASTA,0.011,4.4,0.25
280,PREPARED  , BEVERAGES,0.022,4.4,0.5
281,PRODUCE  , HANGING APPAREL,0.022,3.142,0.07
282,BBS  , ALL HANGING APPAREL,0.011,1.1,0.06
283,ALL HANGING APPAREL  , BBS,0.011,1.1,0.2
284,BEER  , DISH DETERGENTS & SUPPLIES,0.011,11,0.5
285,BBS  , RICE/BEANS/PASTA,0.056,5.5,0.31
286,SPICES  , CHEMICALS,0.011,11,0.5
287,DISH DETERGENTS & SUPPLIES  , BULK GOOD CANDY,0.011,7.333,0.25
288,SAUCES  , FRUIT & VEGETABLES,0.011,4.888,0.5
289,PRODUCE  , MEATS,0.045,2.514,0.14
290,PREPARED  , BBS,0.022,2.75,0.5
291,PERSONAL WASH  , BEER,0.011,22,0.5
292,CONDIMENTS  , OIL,0.011,5.866,0.2
293,ALL HANGING APPAREL  , CHEMICALS,0.011,4.4,0.2
294,PET SUPPLIES  , PAPER PRODUCTS,0.034,4.714,0.43
295,PAPER PRODUCTS  , BBS,0.045,2.75,0.5
296,PRODUCE  , VEND ITEMS,0.022,3.142,0.07
297,BEVERAGES  , CEREAL,0.034,1.552,0.18
298,FRUITS & VEGETABLES  , PASTA & SAUCES,0.022,17.6,0.4
299,HAIR CARE  , CEREAL,0.034,6.6,0.75
300,SALES  , CHEESE,0.011,1.396,0.11
301,FINE WINE  , BBS,0.011,1.833,0.33
302,PRODUCE  , BBS,0.147,2.553,0.46
303,CHEMICALS  , PASTA & SAUCES,0.011,11,0.25
304,CEREAL  , WRAPS,0.011,4.4,0.1
305,FRUIT & VEGETABLES  , BBS,0.056,3.055,0.56
306,SALES  , BEVERAGES,0.011,0.977,0.11
307,MEATS  , SPAS/POOLS/CHEMICALS,0.011,22,0.25
308,JUICES  , SPICES,0.011,22,0.5
309,BEVERAGES  , MINTS/GUM,0.011,5.176,0.06
310,WIPES  , DIAPERS,0.011,14.666,0.33
311,PRODUCE  , SOUPS,0.011,3.142,0.04
312,PASTA & SAUCES  , CHEMICALS,0.011,11,0.5
313,BBS  , WRAPS,0.011,2.75,0.06
314,FRUIT & VEGETABLES  , BEVERAGES,0.056,2.875,0.56
315,JUICES  , RICE/BEANS/PASTA,0.011,8.8,0.5
316,SAUCES  , SPREADS/SYRUP/HONEY,0.011,11,0.5
317,ETHNIC  , BULK GOOD CANDY,0.011,29.333,1
318,BULK GOOD CANDY  , FRUITS & VEGETABLES,0.011,5.866,0.33
319,BEVERAGES  , BEER,0.011,2.588,0.06
320,BBS  , DISH DETERGENTS & SUPPLIES,0.022,2.75,0.13
321,ORAL CARE  , BEVERAGES,0.011,2.2,0.25
322,SPREADS/SYRUP/HONEY  , VEND ITEMS,0.011,11,0.25
323,DAIRY PRODUCTS  , ALL SEASONAL SUNDRIES ITEMS,0.011,3.384,0.04
324,ANTI-PERS/DEODORANT  , PRODUCE,0.011,3.142,1
325,BBS  , PRODUCE,0.147,2.553,0.81
326,BATTERIES  , BAKING NUTS,0.011,14.666,1
327,PREPARED FOODS  , VEND ITEMS,0.022,22,0.5
328,FRUIT SNACKS  , PERSONAL WASH,0.011,14.666,0.33
329,SALES  , MEATS,0.011,1.955,0.11
330,CONDIMENTS  , FOAM/PLASTIC/CATERING,0.011,4.4,0.2
331,ETHNIC  , RICE/BEANS/PASTA,0.011,17.6,1
332,VEND ITEMS  , CHEMICALS,0.011,11,0.5
333,BEVERAGES  , PAPER PRODUCTS,0.045,4.4,0.4
334,BEVERAGES  , CEREAL,0.011,0.88,0.1
335,SALTY SNACKS  , SPICES,0.011,7.333,0.17
336,BEVERAGES  , CHEMICALS,0.011,2.2,0.1
337,PREPARED FOODS  , BAKING NUTS,0.011,3.666,0.25
338,RICE/BEANS/PASTA  , PREPARED FOODS,0.022,8.8,0.4
339,RICE/BEANS/PASTA  , FOAM/PLASTIC/CATERING,0.011,4.4,0.2
340,MEATS  , PREPARED,0.011,4.4,0.2
341,FRUITS & VEGETABLES  , FRUIT & VEGETABLES,0.034,5.866,0.6
342,COFFEE/SWEETENERS  , SPREADS/SYRUP/HONEY,0.011,22,1
343,DRINK MIXES  , ANTACID/LAXATIVE/DIETARY AID,0.022,11,0.5
344,ETHNIC  , CEREAL,0.011,4.4,0.5
345,OIL  , DRINK MIXES,0.022,14.666,0.67
346,SPICES  , ANTI-PERS/DEODORANT,0.011,44,0.5
347,WRAPS  , BODY MOISTURIZERS,0.011,44,0.5
348,PRODUCE  , SALES,0.068,2.095,0.21
349,SALES  , SPREADS/SYRUP/HONEY,0.022,4.888,0.22
350,MINTS/GUM  , ALL HANGING APPAREL,0.011,17.6,1
351,KITCHEN MISC.  , BAKERY,0.011,5.5,0.5
352,BEER  , BEVERAGES,0.011,4.4,0.5
353,PAPER PRODUCTS  , VEND ITEMS,0.022,11,0.25
354,CEREAL  , PERSONAL WASH,0.011,4.4,0.1
355,FRUIT & VEGETABLES  , HAIR CARE,0.011,2.444,0.11
356,SOUPS  , SOUPS,0.011,88,1
357,HAIR CARE  , MINTS/GUM,0.011,22,0.25
358,LAUNDRY DETERGENTS & SUPPLIES  , SALTY SNACKS,0.011,1.833,0.13
359,DAIRY PRODUCTS  , BULK GOOD CANDY,0.022,2.256,0.08
360,CONDIMENTS  , MEAT - PROTEIN,0.011,4.4,0.2
361,LAUNDRY DETERGENTS & SUPPLIES  , CONDIMENTS,0.011,2.2,0.13
362,HANGING APPAREL  , PET SUPPLIES,0.011,6.285,0.5
363,BEVERAGES  , PERSONAL WASH,0.011,4.4,0.1
364,BAKERY  , FRUIT SNACKS,0.011,3.666,0.13
365,PREPARED  , SALTY SNACKS,0.022,7.333,0.5
366,DAIRY PRODUCTS  , ETHNIC,0.011,1.692,0.04
367,CONDIMENTS  , CHEMICALS,0.011,4.4,0.2
368,FRUITS & VEGETABLES  , WOMENS BASICS,0.011,17.6,0.2
369,BEVERAGES  , ANTACID/LAXATIVE/DIETARY AID,0.022,4.4,0.2
370,BAKERY  , SAUCES,0.011,5.5,0.13
371,DAIRY PRODUCTS  , DIAPERS,0.011,1.692,0.04
372,HAIR CARE  , ALL HANGING APPAREL,0.011,4.4,0.25
373,SPREADS/SYRUP/HONEY  , BAKING NUTS,0.011,3.666,0.25
374,FOAM/PLASTIC/CATERING  , PET SUPPLIES,0.011,3.142,0.25
375,FLOOR WINES  , SPAS/POOLS/CHEMICALS,0.011,29.333,0.33
376,VEND ITEMS  , PASTA & SAUCES,0.022,44,1
377,PET SUPPLIES  , RICE/BEANS/PASTA,0.011,2.514,0.14
378,SAUCES  , CANNED FISH AND MEAT,0.011,14.666,0.5
379,OIL  , CONDIMENTS,0.011,5.866,0.33
380,OIL  , PAPER PRODUCTS,0.011,3.666,0.33
381,FRUIT & VEGETABLES  , CHEESE,0.034,4.19,0.33
382,WRAPS  , BAKERY,0.011,5.5,0.5
383,ALL HANGING APPAREL  , BULK GOOD CANDY,0.011,5.866,0.2
384,PREPARED FOODS  , LAUNDRY DETERGENTS & SUPPLIES,0.011,5.5,0.5
385,MEATS  , OUTDOOR WIRELESS & PLUG-IN,0.011,22,0.25
386,BEER  , SALTY SNACKS,0.011,7.333,0.5
387,ALL SEASONAL SUNDRIES ITEMS  , MEAT,0.011,29.333,1
388,BEER  , FRUIT SNACKS,0.011,14.666,0.5
389,FLOOR WINES  , FLOOR WINES,0.034,29.333,1
390,BBS  , SPICES,0.011,2.75,0.06
391,DISH DETERGENTS & SUPPLIES  , SPREADS/SYRUP/HONEY,0.011,5.5,0.25
392,DIAPERS  , WIPES,0.011,14.666,0.5
393,MEATS  , HAIR CARE,0.022,11,0.5
394,RICE/BEANS/PASTA  , FRUITS & VEGETABLES,0.034,10.559,0.6
395,VITAMIN/SUPPLEMENTS  , HANGING APPAREL,0.011,11,0.25
396,SALTY SNACKS  , DAIRY PRODUCTS,0.034,1.692,0.5
397,CEREAL  , PREPARED FOODS,0.022,4.4,0.2
398,CHEESE  , CEREAL,0.056,6.285,0.71
399,FOAM/PLASTIC/CATERING  , SALTY SNACKS,0.022,7.333,0.5
400,WATER FILTRATION  , BEVERAGES,0.011,8.8,1
401,ANTI-PERS/DEODORANT  , BEVERAGES,0.011,5.176,1
402,CEREAL  , BBS,0.068,3.3,0.6
403,BARS  , CHEMICALS,0.011,7.333,0.33
404,SPREADS/SYRUP/HONEY  , SALTY SNACKS,0.011,3.666,0.25
405,ALL HANGING APPAREL  , ALL HANGING APPAREL,0.056,17.6,1
406,ETHNIC  , FRUIT & VEGETABLES,0.011,4.888,0.5
407,PAPER PRODUCTS  , ANTACID/LAXATIVE/DIETARY AID,0.022,5.5,0.25
408,PRODUCE  , PREPARED,0.045,3.142,0.14
409,BEVERAGES  , RICE/BEANS/PASTA,0.034,5.279,0.3
410,ETHNIC  , LAUNDRY DETERGENTS & SUPPLIES,0.011,11,1
411,WIPES  , PAPER PRODUCTS,0.011,3.666,0.33
