S.No.,Rule,Support,Lift,Confidence
1227,BARS  , BEVERAGES,0.034,8.8,1
1228,BBS  , TICKETING,0.011,5.5,0.06
1229,SPREADS/SYRUP/HONEY  , PERSONAL WASH,0.011,11,0.25
1230,PREPARED  , FLOOR WINES,0.011,7.333,0.25
1231,ALL HANGING APPAREL  , FRUIT & VEGETABLES,0.011,1.955,0.2
1232,LAUNDRY DETERGENTS & SUPPLIES  , PRODUCE,0.034,1.178,0.38
1233,SAUCES  , PREPARED FOODS,0.011,11,0.5
1234,FOAM/PLASTIC/CATERING  , WRAPS,0.011,11,0.25
1235,ETHNIC  , DISH DETERGENTS & SUPPLIES,0.011,22,1
1236,SPREADS/SYRUP/HONEY  , PASTA & SAUCES,0.011,11,0.25
1237,CHEESE  , DRINK MIXES,0.022,6.285,0.29
1238,OIL  , OIL,0.034,29.333,1
1239,VEND ITEMS  , MEAT - PROTEIN,0.011,11,0.5
1240,BEVERAGES  , FOAM/PLASTIC/CATERING,0.034,6.6,0.3
1241,JUICES  , PET SUPPLIES,0.011,6.285,0.5
1242,PRODUCE  , BARS,0.034,3.142,0.11
1243,SPICES  , PERSONAL WASH,0.011,22,0.5
1244,MINTS/GUM  , DAIRY PRODUCTS,0.011,3.384,1
1245,SALES  , DISH DETERGENTS & SUPPLIES,0.011,2.444,0.11
1246,TOPICAL APPLICATIONS  , DAIRY PRODUCTS,0.011,3.384,1
1247,PAPER PRODUCTS  , PERSONAL WASH,0.011,5.5,0.13
1248,FRUITS & VEGETABLES  , CHEMICALS,0.011,4.4,0.2
1249,BATTERIES  , PET SUPPLIES,0.011,12.571,1
1250,FRUIT & VEGETABLES  , BATTERIES,0.011,9.777,0.11
1251,CEREAL  , CHEMICALS,0.011,2.2,0.1
1252,FOAM/PLASTIC/CATERING  , HANGING APPAREL,0.022,22,0.5
1253,ETHNIC  , TOPICAL APPLICATIONS,0.011,44,0.5
1254,CEREAL  , CEREAL,0.113,8.8,1
1255,WRAPS  , SOUPS,0.011,44,0.5
1256,BAKERY  , CANNED FISH AND MEAT,0.011,3.666,0.13
1257,PRODUCE  , PRODUCE,0.318,3.142,1
1258,BASICS  , SPREADS/SYRUP/HONEY,0.011,22,1
1259,PERSONAL WASH  , DAIRY PRODUCTS,0.011,1.692,0.5
1260,PERSONAL WASH  , DESSERTS,0.011,44,0.5
1261,FINE WINE  , MEATS,0.011,7.333,0.33
1262,MEATS  , SALTY SNACKS,0.022,5.866,0.4
1263,MEAT - PROTEIN  , DRINK MIXES,0.011,5.5,0.25
1264,MEAT - PROTEIN  , VEND ITEMS,0.011,11,0.25
1265,FLOOR WINES  , DAIRY PRODUCTS,0.022,2.256,0.67
1266,HAIR CARE  , HAIR CARE,0.045,22,1
1267,DESSERTS  , BEVERAGES,0.011,5.176,1
1268,FLOOR WINES  , PRODUCE,0.034,3.142,1
1269,DESSERTS  , PREPARED,0.011,22,1
1270,BASICS  , DAIRY PRODUCTS,0.011,3.384,1
1271,TOPICAL APPLICATIONS  , TOPICAL APPLICATIONS,0.011,88,1
1272,VEND ITEMS  , BBS,0.022,5.5,1
1273,LAUNDRY DETERGENTS & SUPPLIES  , BODY MOISTURIZERS,0.011,11,0.13
1274,FINE WINE  , PREPARED,0.011,7.333,0.33
1275,ETHNIC  , BEVERAGES,0.011,2.588,0.5
1276,PET SUPPLIES  , CHEESE,0.022,3.591,0.29
1277,DAIRY PRODUCTS  , DAIRY PRODUCTS,0.295,3.384,1
1278,DAIRY PRODUCTS  , RICE/BEANS/PASTA,0.045,2.707,0.15
1279,SALTY SNACKS  , WIPES,0.011,4.888,0.17
1280,PERSONAL WASH  , BBS,0.011,2.75,0.5
1281,PERSONAL WASH  , PRODUCE,0.022,3.142,1
1282,WRAPS  , WRAPS,0.022,44,1
1283,PRODUCE  , BAGS,0.011,1.571,0.04
1284,FRUIT & VEGETABLES  , OIL,0.022,6.518,0.22
1285,SALTY SNACKS  , FOAM/PLASTIC/CATERING,0.022,7.333,0.33
1286,PREPARED FOODS  , PREPARED FOODS,0.022,44,1
1287,CONDIMENTS  , SOUPS,0.011,17.6,0.2
1288,DAIRY PRODUCTS  , WIPES,0.011,1.128,0.04
1289,JUICES  , BEER,0.011,22,0.5
1290,BEVERAGES  , SPREADS/SYRUP/HONEY,0.022,2.588,0.12
1291,BAKING NUTS  , BAKING NUTS,0.068,14.666,1
1292,FINE WINE  , MEAT,0.011,9.777,0.33
1293,MEAT  , ETHNIC,0.011,14.666,0.33
1294,BBS  , SALTY SNACKS,0.056,4.583,0.31
1295,CEREAL  , PREPARED FOODS,0.011,4.4,0.1
1296,ALL SEASONAL SUNDRIES ITEMS  , CEREAL,0.011,8.8,1
1297,BAKERY  , FOOD COURT,0.011,3.666,0.13
1298,BEER  , MEATS,0.011,8.8,0.5
1299,RICE/BEANS/PASTA  , SOUPS,0.011,17.6,0.2
1300,SALES  , PRODUCE,0.068,2.095,0.67
1301,CEREAL  , ALL HANGING APPAREL,0.011,1.76,0.1
1302,CHEMICALS  , PREPARED,0.011,5.5,0.25
1303,PREPARED FOODS  , BEVERAGES,0.011,4.4,0.5
1304,MEAT  , CANNED FISH AND MEAT,0.011,9.777,0.33
1305,HAIR CARE  , VEND ITEMS,0.011,11,0.25
1306,BAGS  , CHEMICALS,0.011,11,0.5
1307,CHEESE  , SOUPS,0.011,12.571,0.14
1308,MEATS  , BEVERAGES,0.034,3.105,0.6
1309,OIL  , FRUITS & VEGETABLES,0.011,5.866,0.33
1310,WIPES  , WIPES,0.034,29.333,1
1311,BEVERAGES  , HANGING APPAREL,0.011,2.588,0.06
1312,CHEESE  , PREPARED FOODS,0.011,6.285,0.14
1313,BULK GOOD CANDY  , ETHNIC,0.011,29.333,0.33
1314,PAPER PRODUCTS  , FRUITS & VEGETABLES,0.022,4.4,0.25
1315,BATTERIES  , PAPER PRODUCTS,0.011,11,1
1316,DISH DETERGENTS & SUPPLIES  , BAKERY,0.011,2.75,0.25
1317,BEVERAGES  , BASICS,0.011,8.8,0.1
1318,PRODUCE  , RICE/BEANS/PASTA,0.056,3.142,0.18
1319,SOUPS  , PAPER PRODUCTS,0.011,11,1
1320,BAKERY  , BEVERAGES,0.045,2.588,0.5
1321,FRUIT & VEGETABLES  , FRUIT SNACKS,0.022,6.518,0.22
1322,FRUITS & VEGETABLES  , SALTY SNACKS,0.011,2.933,0.2
1323,WRAPS  , WATER FILTRATION,0.011,44,0.5
1324,ALL HANGING APPAREL  , PERSONAL WASH,0.011,8.8,0.2
1325,PREPARED  , DAIRY PRODUCTS,0.034,2.538,0.75
1326,PREPARED  , PERSONAL WASH,0.011,11,0.25
1327,ALL HANGING APPAREL  , ETHNIC,0.011,17.6,0.2
1328,BEER  , PRODUCE,0.011,1.571,0.5
1329,FOAM/PLASTIC/CATERING  , FRUIT & VEGETABLES,0.022,4.888,0.5
1330,SPICES  , BARS,0.011,14.666,0.5
1331,ETHNIC  , ALL SEASONAL SUNDRIES ITEMS,0.011,44,0.5
1332,PAPER PRODUCTS  , OUTDOOR WIRELESS & PLUG-IN,0.011,11,0.13
1333,ALL SEASONAL SUNDRIES ITEMS  , PRODUCE,0.011,3.142,1
1334,ANTI-PERS/DEODORANT  , BEER,0.011,44,1
1335,CONDIMENTS  , DAIRY PRODUCTS,0.034,2.03,0.6
1336,MINTS/GUM  , COFFEE/SWEETENERS,0.011,88,1
1337,SALTY SNACKS  , BEVERAGES,0.045,5.866,0.67
1338,DAIRY PRODUCTS  , BBS,0.125,2.326,0.42
1339,BAKING NUTS  , PRODUCE,0.056,2.619,0.83
1340,PAPER PRODUCTS  , PAPER PRODUCTS,0.09,11,1
1341,FRUIT & VEGETABLES  , LIQUOR,0.011,9.777,0.11
1342,DISH DETERGENTS & SUPPLIES  , JUICES,0.011,11,0.25
1343,JUICES  , FRUIT SNACKS,0.011,14.666,0.5
1344,SPREADS/SYRUP/HONEY  , RICE/BEANS/PASTA,0.022,8.8,0.5
1345,PREPARED  , ETHNIC,0.011,11,0.25
1346,MEATS  , CHEMICALS,0.011,4.4,0.2
1347,SAUCES  , PREPARED,0.011,11,0.5
1348,CANNED FISH AND MEAT  , DRINK MIXES,0.011,7.333,0.33
1349,CONDIMENTS  , WIPES,0.011,5.866,0.2
1350,MEATS  , TICKETING,0.011,17.6,0.2
1351,WOMENS BASICS  , PREPARED FOODS,0.011,44,1
1352,WRAPS  , SALTY SNACKS,0.011,7.333,0.5
1353,BAGS  , WATER FILTRATION,0.011,44,0.5
1354,MEATS  , CANNED FISH AND MEAT,0.011,7.333,0.25
1355,DIAPERS  , DISH DETERGENTS & SUPPLIES,0.011,11,0.5
1356,MEATS  , SPICES,0.011,8.8,0.2
1357,DRINK MIXES  , PRODUCE,0.022,1.571,0.5
1358,CHEESE  , CHEESE,0.079,12.571,1
1359,MEAT - PROTEIN  , PRODUCE,0.045,3.142,1
1360,FRUITS & VEGETABLES  , CEREAL,0.034,5.279,0.6
1361,SALES  , BAKING NUTS,0.022,3.259,0.22
1362,BARS  , PERSONAL WASH,0.011,14.666,0.33
1363,LAUNDRY DETERGENTS & SUPPLIES  , BAGS,0.011,5.5,0.13
1364,FRUIT & VEGETABLES  , FRUITS & VEGETABLES,0.034,5.866,0.33
1365,TICKETING  , DAIRY PRODUCTS,0.011,3.384,1
1366,RICE/BEANS/PASTA  , PET SUPPLIES,0.011,2.514,0.2
1367,CEREAL  , PREPARED,0.022,4.4,0.2
1368,PET SUPPLIES  , BAKING NUTS,0.011,2.095,0.14
1369,FRUITS & VEGETABLES  , PREPARED,0.011,4.4,0.2
1370,LAUNDRY DETERGENTS & SUPPLIES  , RICE/BEANS/PASTA,0.011,2.2,0.13
1371,VEND ITEMS  , PET SUPPLIES,0.011,6.285,0.5
1372,DAIRY PRODUCTS  , HAIR CARE,0.045,3.384,0.15
1373,DISH DETERGENTS & SUPPLIES  , BODY MOISTURIZERS,0.011,22,0.25
1374,SALES  , BULK GOOD CANDY,0.011,3.259,0.11
1375,SALES  , FRUITS & VEGETABLES,0.022,3.911,0.22
1376,BAKERY  , BAKERY,0.09,11,1
1377,FRUITS & VEGETABLES  , PREPARED FOODS,0.022,17.6,0.4
1378,ALL HANGING APPAREL  , MEATS,0.011,3.52,0.2
1379,BEVERAGES  , ETHNIC,0.011,8.8,0.1
1380,ORAL CARE  , BAKING NUTS,0.022,7.333,0.5
1381,COFFEE/SWEETENERS  , COFFEE/SWEETENERS,0.011,88,1
1382,PREPARED FOODS  , SAUCES,0.011,22,0.5
1383,SALTY SNACKS  , ANTI-PERS/DEODORANT,0.011,14.666,0.17
1384,CHEESE  , FRUIT SNACKS,0.011,4.19,0.14
1385,FRUIT & VEGETABLES  , DISH DETERGENTS & SUPPLIES,0.022,4.888,0.22
1386,MEAT - PROTEIN  , PASTA & SAUCES,0.011,11,0.25
1387,ANTACID/LAXATIVE/DIETARY AID  , FRUITS & VEGETABLES,0.022,8.8,0.5
1388,DAIRY PRODUCTS  , FRUIT SNACKS,0.011,1.128,0.04
1389,SAUCES  , ANTACID/LAXATIVE/DIETARY AID,0.011,11,0.5
1390,BEVERAGES  , PREPARED,0.022,2.588,0.12
1391,DISH DETERGENTS & SUPPLIES  , PERSONAL WASH,0.011,11,0.25
1392,MEAT - PROTEIN  , FRUITS & VEGETABLES,0.011,4.4,0.25
1393,CONDIMENTS  , CANNED FISH AND MEAT,0.011,5.866,0.2
1394,WRAPS  , CONDIMENTS,0.022,17.6,1
1395,ETHNIC  , FINE WINE,0.011,14.666,0.5
1396,PRODUCE  , SALTY SNACKS,0.068,3.142,0.21
1397,BAKING NUTS  , FRUIT & VEGETABLES,0.045,6.518,0.67
1398,BAKING NUTS  , BBS,0.022,1.833,0.33
1399,SALES  , ALL HANGING APPAREL,0.022,3.911,0.22
1400,CHEESE  , FRUITS & VEGETABLES,0.022,5.028,0.29
1401,SALTY SNACKS  , OIL,0.022,9.777,0.33
1402,SALES  , CANNED FISH AND MEAT,0.022,6.518,0.22
1403,FOAM/PLASTIC/CATERING  , BBS,0.011,1.375,0.25
1404,CEREAL  , VEND ITEMS,0.022,8.8,0.2
1405,SALES  , COFFEE/SWEETENERS,0.011,9.777,0.11
1406,FRUIT SNACKS  , CHEESE,0.011,4.19,0.33
1407,DIET / NUTRITION  , OUTDOOR WIRELESS & PLUG-IN,0.011,88,1
1408,CHEESE  , HAIR CARE,0.022,6.285,0.29
1409,BEVERAGES  , PREPARED FOODS,0.011,4.4,0.1
1410,BAKING NUTS  , FOAM/PLASTIC/CATERING,0.022,7.333,0.33
1411,MEATS  , FOAM/PLASTIC/CATERING,0.011,4.4,0.2
1412,CHEMICALS  , CONDIMENTS,0.011,4.4,0.25
1413,FLOOR WINES  , CHEESE,0.011,4.19,0.33
1414,DISH DETERGENTS & SUPPLIES  , BAKING NUTS,0.011,3.666,0.25
1415,OIL  , BEVERAGES,0.022,5.866,0.67
1416,TOPICAL APPLICATIONS  , PREPARED,0.011,22,1
1417,DIAPERS  , FIRST AID,0.011,44,0.5
1418,CHEESE  , MEATS,0.022,5.028,0.29
1419,LAUNDRY DETERGENTS & SUPPLIES  , LAUNDRY DETERGENTS & SUPPLIES,0.09,11,1
1420,SPAS/POOLS/CHEMICALS  , FLOOR WINES,0.011,29.333,1
1421,CHEESE  , VITAMIN/SUPPLEMENTS,0.022,6.285,0.29
1422,PET SUPPLIES  , PREPARED FOODS,0.011,3.142,0.14
1423,FIRST AID  , WATER FILTRATION,0.011,88,1
1424,PAPER PRODUCTS  , DAIRY PRODUCTS,0.056,2.115,0.63
1425,BULK GOOD CANDY  , BASICS,0.011,29.333,0.33
1426,ALL HANGING APPAREL  , CHEESE,0.011,2.514,0.2
1427,BAKERY  , SPICES,0.011,5.5,0.13
1428,PERSONAL WASH  , BARS,0.011,14.666,0.5
1429,MEATS  , PERSONAL WASH,0.011,8.8,0.2
1430,WATER FILTRATION  , WIPES,0.011,29.333,1
1431,BEER  , CHEMICALS,0.011,11,0.5
1432,SPREADS/SYRUP/HONEY  , BULK GOOD CANDY,0.011,7.333,0.25
1433,BULK GOOD CANDY  , BBS,0.034,5.5,1
1434,MEAT  , ALL SEASONAL SUNDRIES ITEMS,0.011,29.333,0.33
1435,FRUIT & VEGETABLES  , FOAM/PLASTIC/CATERING,0.022,4.888,0.22
1436,SPREADS/SYRUP/HONEY  , BAKERY,0.011,2.75,0.25
1437,PREPARED FOODS  , DRINK MIXES,0.011,11,0.5
1438,SPREADS/SYRUP/HONEY  , FRUIT & VEGETABLES,0.022,4.888,0.5
1439,BEVERAGES  , WATER FILTRATION,0.011,8.8,0.1
1440,BODY MOISTURIZERS  , BAGS,0.011,44,1
1441,PET SUPPLIES  , CHEMICALS,0.011,3.142,0.14
1442,SALTY SNACKS  , PERSONAL WASH,0.011,7.333,0.17
1443,BAKERY  , BEER,0.022,11,0.25
1444,CHEESE  , LIQUOR,0.011,12.571,0.14
1445,BULK GOOD CANDY  , ALL HANGING APPAREL,0.011,5.866,0.33
1446,SPREADS/SYRUP/HONEY  , BEVERAGES,0.022,2.588,0.5
1447,OIL  , MEAT,0.011,9.777,0.33
1448,FINE WINE  , FRUIT & VEGETABLES,0.022,6.518,0.67
1449,VITAMIN/SUPPLEMENTS  , CHEESE,0.022,6.285,0.5
1450,JUICES  , BBS,0.022,5.5,1
1451,CONDIMENTS  , RICE/BEANS/PASTA,0.022,7.04,0.4
1452,PET SUPPLIES  , BBS,0.034,2.357,0.43
1453,ANTI-PERS/DEODORANT  , PERSONAL WASH,0.011,44,1
1454,PAPER PRODUCTS  , FIRST AID,0.011,11,0.13
1455,FINE WINE  , SPAS/POOLS/CHEMICALS,0.011,29.333,0.33
1456,BATTERIES  , FRUIT & VEGETABLES,0.011,9.777,1
1457,BBS  , FRUITS & VEGETABLES,0.045,4.4,0.25
1458,FOAM/PLASTIC/CATERING  , PAPER PRODUCTS,0.045,11,1
1459,BAKING NUTS  , OUTDOOR WIRELESS & PLUG-IN,0.011,14.666,0.17
1460,FLOOR WINES  , MEAT,0.011,9.777,0.33
1461,FOOD COURT  , COOKIES/CRACKERS/PASTRIES,0.011,29.333,0.33
1462,MEAT - PROTEIN  , MEAT - PROTEIN,0.045,22,1
1463,CONDIMENTS  , BAKERY,0.022,4.4,0.4
1464,GASOLINE  , GASOLINE,0.352,2.838,1
1465,OUTDOOR WIRELESS & PLUG-IN  , BAKING NUTS,0.011,14.666,1
1466,ETHNIC  , BASICS,0.011,88,1
1467,ALL HANGING APPAREL  , DAIRY PRODUCTS,0.022,1.353,0.4
1468,KITCHEN MISC.  , SPAS/POOLS/CHEMICALS,0.011,44,0.5
1469,BEVERAGES  , SALTY SNACKS,0.034,2.588,0.18
1470,CHEESE  , BEER,0.011,6.285,0.14
1471,ANTI-PERS/DEODORANT  , FRUIT SNACKS,0.011,29.333,1
1472,CEREAL  , PASTA & SAUCES,0.022,8.8,0.2
1473,KITCHEN MISC.  , PET SUPPLIES,0.011,6.285,0.5
1474,BAGS  , PRODUCE,0.011,1.571,0.5
1475,LAUNDRY DETERGENTS & SUPPLIES  , DISH DETERGENTS & SUPPLIES,0.034,8.25,0.38
1476,WRAPS  , RICE/BEANS/PASTA,0.011,8.8,0.5
1477,CHEMICALS  , BEER,0.011,11,0.25
1478,FRUIT & VEGETABLES  , CONDIMENTS,0.022,3.911,0.22
1479,SALES  , CEREAL,0.011,0.977,0.11
1480,ANTACID/LAXATIVE/DIETARY AID  , PREPARED FOODS,0.022,11,0.5
1481,ORAL CARE  , LAUNDRY DETERGENTS & SUPPLIES,0.011,2.75,0.25
1482,FRUIT & VEGETABLES  , CHEMICALS,0.011,2.444,0.11
1483,CHEESE  , PAPER PRODUCTS,0.034,4.714,0.43
1484,WRAPS  , LAUNDRY DETERGENTS & SUPPLIES,0.011,5.5,0.5
1485,DRINK MIXES  , CONDIMENTS,0.011,4.4,0.25
1486,CHEMICALS  , CHEMICALS,0.045,22,1
1487,CANNED FISH AND MEAT  , FRUITS & VEGETABLES,0.022,11.733,0.67
1488,MEAT - PROTEIN  , BEVERAGES,0.034,6.6,0.75
1489,SPICES  , FRUIT SNACKS,0.011,14.666,0.5
1490,WRAPS  , VEND ITEMS,0.011,22,0.5
1491,ETHNIC  , PREPARED,0.011,11,0.5
1492,PRODUCE  , PET SUPPLIES,0.068,2.693,0.21
1493,CONDIMENTS  , SAUCES,0.011,8.8,0.2
1494,FINE WINE  , ETHNIC,0.011,14.666,0.33
1495,PERSONAL WASH  , DISH DETERGENTS & SUPPLIES,0.011,11,0.5
1496,PRODUCE  , BAKERY,0.056,1.964,0.18
1497,BEVERAGES  , PASTA & SAUCES,0.011,4.4,0.1
1498,PREPARED  , SPICES,0.011,11,0.25
1499,CONDIMENTS  , BULK GOOD CANDY,0.011,5.866,0.2
1500,SPREADS/SYRUP/HONEY  , PAPER PRODUCTS,0.011,2.75,0.25
1501,PRODUCE  , LIQUOR,0.011,3.142,0.04
1502,SAUCES  , CEREAL,0.011,4.4,0.5
1503,SPREADS/SYRUP/HONEY  , TICKETING,0.011,22,0.25
1504,ANTACID/LAXATIVE/DIETARY AID  , MEAT - PROTEIN,0.011,5.5,0.25
1505,CONDIMENTS  , BAGS,0.011,8.8,0.2
1506,SPICES  , DISH DETERGENTS & SUPPLIES,0.011,11,0.5
1507,DAIRY PRODUCTS  , ORAL CARE,0.022,1.692,0.08
1508,FRUIT & VEGETABLES  , RICE/BEANS/PASTA,0.034,5.866,0.33
1509,BARS  , DISH DETERGENTS & SUPPLIES,0.011,7.333,0.33
1510,RICE/BEANS/PASTA  , PREPARED FOODS,0.011,8.8,0.2
1511,BEVERAGES  , WRAPS,0.011,4.4,0.1
1512,PREPARED  , PRODUCE,0.045,3.142,1
1513,OUTDOOR WIRELESS & PLUG-IN  , PRODUCE,0.011,3.142,1
1514,VITAMIN/SUPPLEMENTS  , FRUIT & VEGETABLES,0.011,2.444,0.25
1515,CHEMICALS  , ALL HANGING APPAREL,0.011,4.4,0.25
1516,CONDIMENTS  , SPREADS/SYRUP/HONEY,0.011,4.4,0.2
1517,BEVERAGES  , SPREADS/SYRUP/HONEY,0.022,4.4,0.2
1518,BBS  , VEND ITEMS,0.022,5.5,0.13
1519,BAKING NUTS  , MEAT,0.011,4.888,0.17
1520,VITAMIN/SUPPLEMENTS  , PRODUCE,0.045,3.142,1
1521,DESSERTS  , BARS,0.011,29.333,1
1522,VITAMIN/SUPPLEMENTS  , VEND ITEMS,0.011,11,0.25
1523,PERSONAL WASH  , PREPARED,0.011,11,0.5
1524,HANGING APPAREL  , FOAM/PLASTIC/CATERING,0.022,22,1
1525,BBS  , FINE WINE,0.011,1.833,0.06
1526,CEREAL  , VITAMIN/SUPPLEMENTS,0.034,6.6,0.3
1527,PREPARED  , TOPICAL APPLICATIONS,0.011,22,0.25
1528,DISH DETERGENTS & SUPPLIES  , FRUITS & VEGETABLES,0.011,4.4,0.25
1529,BAKERY  , HAIR CARE,0.011,2.75,0.13
1530,DRINK MIXES  , PAPER PRODUCTS,0.011,2.75,0.25
1531,BASICS  , BAKING NUTS,0.011,14.666,1
1532,DIET / NUTRITION  , VITAMIN/SUPPLEMENTS,0.011,22,1
1533,BEVERAGES  , DIAPERS,0.011,4.4,0.1
1534,CANNED FISH AND MEAT  , BEVERAGES,0.011,2.933,0.33
1535,PREPARED FOODS  , DRINK MIXES,0.011,5.5,0.25
1536,BASICS  , LAUNDRY DETERGENTS & SUPPLIES,0.011,11,1
1537,PREPARED FOODS  , CANNED FISH AND MEAT,0.011,7.333,0.25
1538,LAUNDRY DETERGENTS & SUPPLIES  , TICKETING,0.011,11,0.13
1539,SALES  , MEAT,0.011,3.259,0.11
1540,PRODUCE  , BEVERAGES,0.147,2.403,0.46
1541,RICE/BEANS/PASTA  , PERSONAL WASH,0.011,8.8,0.2
1542,FIRST AID  , BAGS,0.011,44,1
1543,MEAT - PROTEIN  , FRUIT & VEGETABLES,0.011,2.444,0.25
1544,PAPER PRODUCTS  , HAIR CARE,0.011,2.75,0.13
1545,SPICES  , BEVERAGES,0.011,2.588,0.5
1546,BEVERAGES  , JUICES,0.022,5.176,0.12
1547,TICKETING  , MEATS,0.011,22,1
1548,FRUIT & VEGETABLES  , ANTI-PERS/DEODORANT,0.011,9.777,0.11
1549,JUICES  , PRODUCE,0.022,3.142,1
1550,FRUIT & VEGETABLES  , BAKING NUTS,0.045,6.518,0.44
1551,WIPES  , WATER FILTRATION,0.011,29.333,0.33
1552,FINE WINE  , TOPICAL APPLICATIONS,0.011,29.333,0.33
1553,HANGING APPAREL  , FRUIT & VEGETABLES,0.011,4.888,0.5
1554,FRUIT SNACKS  , BEER,0.011,14.666,0.33
1555,FRUITS & VEGETABLES  , ANTACID/LAXATIVE/DIETARY AID,0.022,8.8,0.4
1556,VITAMIN/SUPPLEMENTS  , CONDIMENTS,0.022,8.8,0.5
1557,BEVERAGES  , COFFEE/SWEETENERS,0.011,5.176,0.06
1558,DISH DETERGENTS & SUPPLIES  , DESSERTS,0.011,22,0.25
1559,PASTA & SAUCES  , PAPER PRODUCTS,0.022,11,1
1560,MEATS  , CONDIMENTS,0.011,3.52,0.2
1561,WRAPS  , CEREAL,0.011,4.4,0.5
1562,PREPARED FOODS  , RICE/BEANS/PASTA,0.022,8.8,0.5
1563,FOAM/PLASTIC/CATERING  , PRODUCE,0.045,3.142,1
1564,BBS  , ETHNIC,0.011,5.5,0.06
1565,BASICS  , DISH DETERGENTS & SUPPLIES,0.011,22,1
1566,PASTA & SAUCES  , WRAPS,0.011,22,0.5
1567,MEAT - PROTEIN  , CONDIMENTS,0.011,4.4,0.25
1568,PRODUCE  , ANTACID/LAXATIVE/DIETARY AID,0.022,1.571,0.07
1569,SALTY SNACKS  , LIQUOR,0.011,14.666,0.17
1570,PREPARED FOODS  , BBS,0.011,2.75,0.5
1571,ETHNIC  , FRUIT & VEGETABLES,0.011,9.777,1
1572,FOAM/PLASTIC/CATERING  , FRUIT SNACKS,0.011,7.333,0.25
1573,CEREAL  , SPAS/POOLS/CHEMICALS,0.011,8.8,0.1
1574,BEVERAGES  , PAPER PRODUCTS,0.034,1.941,0.18
1575,BARS  , SALTY SNACKS,0.022,9.777,0.67
1576,FLOOR WINES  , KITCHEN MISC.,0.011,14.666,0.33
1577,PRODUCE  , ANTI-PERS/DEODORANT,0.011,3.142,0.04
1578,PRODUCE  , MINTS/GUM,0.011,3.142,0.04
1579,BAGS  , BEVERAGES,0.011,4.4,0.5
1580,SOUPS  , ANTACID/LAXATIVE/DIETARY AID,0.011,22,1
1581,SALES  , MEATS,0.011,2.444,0.11
1582,HANGING APPAREL  , BEVERAGES,0.011,2.588,0.5
1583,TOPICAL APPLICATIONS  , ALL SEASONAL SUNDRIES ITEMS,0.011,88,1
1584,SALTY SNACKS  , SPREADS/SYRUP/HONEY,0.011,3.666,0.17
1585,PRODUCE  , PREPARED FOODS,0.045,3.142,0.14
1586,DAIRY PRODUCTS  , ETHNIC,0.011,3.384,0.04
1587,PRODUCE  , BASICS,0.011,3.142,0.04
1588,CONDIMENTS  , DISH DETERGENTS & SUPPLIES,0.011,4.4,0.2
1589,FIRST AID  , BODY MOISTURIZERS,0.011,88,1
1590,ETHNIC  , DAIRY PRODUCTS,0.011,3.384,1
1591,JUICES  , FRUIT & VEGETABLES,0.011,4.888,0.5
1592,FRUIT SNACKS  , PREPARED,0.011,7.333,0.33
1593,BARS  , FOAM/PLASTIC/CATERING,0.011,7.333,0.33
1594,BEER  , BEER,0.022,44,1
1595,CHEMICALS  , VEND ITEMS,0.011,11,0.25
1596,CHEESE  , ALL HANGING APPAREL,0.011,2.514,0.14
1597,PREPARED FOODS  , PRODUCE,0.045,3.142,1
1598,MEAT  , OIL,0.011,9.777,0.33
1599,MEAT  , FINE WINE,0.011,9.777,0.33
1600,BBS  , BEVERAGES,0.079,2.264,0.44
1601,COOKIES/CRACKERS/PASTRIES  , FOOD COURT,0.011,29.333,1
1602,CONDIMENTS  , PREPARED FOODS,0.022,8.8,0.4
1603,BBS  , JUICES,0.022,5.5,0.13
1604,BARS  , RICE/BEANS/PASTA,0.011,5.866,0.33
1605,ALL HANGING APPAREL  , BASICS,0.011,17.6,0.2
1606,RICE/BEANS/PASTA  , PRODUCE,0.056,3.142,1
1607,PAPER PRODUCTS  , PREPARED FOODS,0.011,5.5,0.13
1608,MEAT - PROTEIN  , HAIR CARE,0.011,5.5,0.25
1609,MEATS  , CHEESE,0.011,3.142,0.25
1610,PET SUPPLIES  , WIPES,0.011,4.19,0.14
1611,SALES  , KITCHEN MISC.,0.011,4.888,0.11
1612,CEREAL  , SAUCES,0.011,4.4,0.1
1613,BBS  , BEER,0.011,2.75,0.06
1614,FOAM/PLASTIC/CATERING  , BEVERAGES,0.034,6.6,0.75
1615,FRUIT SNACKS  , DESSERTS,0.011,29.333,0.33
1616,SAUCES  , SAUCES,0.022,44,1
1617,BBS  , PASTA & SAUCES,0.022,5.5,0.13
1618,PASTA & SAUCES  , PREPARED FOODS,0.022,22,1
1619,PAPER PRODUCTS  , BEVERAGES,0.034,1.941,0.38
1620,PASTA & SAUCES  , VEND ITEMS,0.022,44,1
1621,OUTDOOR WIRELESS & PLUG-IN  , OUTDOOR WIRELESS & PLUG-IN,0.011,88,1
1622,BEER  , BBS,0.011,2.75,0.5
1623,CONDIMENTS  , WRAPS,0.022,17.6,0.4
1624,BBS  , CHEMICALS,0.022,2.75,0.13
1625,JUICES  , LIQUOR,0.011,44,0.5
1626,BAGS  , DIAPERS,0.011,22,0.5
1627,PERSONAL WASH  , JUICES,0.011,22,0.5
1628,ETHNIC  , PRODUCE,0.011,1.571,0.5
1629,BBS  , OIL,0.022,3.666,0.13
1630,DAIRY PRODUCTS  , FOOD COURT,0.022,2.256,0.08
